シグナル日,コード,会社名,市場,現在値,前日比,直近3日騰落率,直近5日騰落率,25日線乖離率,ATR当日値幅,ATR14,前日高値,反転足高値,反転足安値,直近2日高値,直近3日高値,直近安値,直近支持線,BB-1σ,BB-2σ,BB下限,スコア,ランク,%K,%D,%D傾き,RSI14,MA25,MA75,MA200,BB位置,出来高倍率,ローソク足パターン,アンチ判定,買い・売り,シグナル種別,シグナル数,自社株買い比率,損切り候補,利確候補,RR,判定理由,除外理由,Yahoo Financeリンク
2026-08-14,3591,ワコールホールディングス,プライム,4336.0,2.31,-3.71,-1.12,-2.0,1.42,114.15,4240.0,4352.0,4190.0,4352.0,4352.0,4115.0,4115.0,4328.2,4236.9,4236.9,21,S,51.64,33.79,-14.35,45.84,4424.4,4470.64,4559.0,-0.91σ,1.56,強気包み足 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,4115.0,4778.0,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -2σ付近から反発、ストキャス売られ過ぎから反転、%K反転、陽の包み足、2～5日下落後の陽線、出来高増加を伴う反転,,https://finance.yahoo.co.jp/quote/3591.T
2026-08-14,9065,山九,プライム,8527.0,1.19,1.13,-2.28,-4.14,1.1,207.0,8510.0,8578.0,8350.0,8578.0,8578.0,8329.0,8329.0,8575.03,8210.7,8210.7,20,S,35.8,22.76,-20.67,39.2,8895.2,8776.19,8809.47,-1.13σ,1.23,強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,8216.49,9148.01,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/9065.T
2026-08-14,4259,エクサウィザーズ,グロース,705.0,1.88,-16.07,-15.87,-13.04,1.07,52.18,716.0,723.0,667.0,723.0,875.0,667.0,667.0,751.64,708.78,708.78,20,S,18.27,62.33,-1.27,36.04,810.72,907.84,760.68,-2.09σ,2.16,陰線→陽線 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,626.73,861.53,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -2σ付近から反発、ストキャス売られ過ぎから反転、%K反転、長い下ヒゲ反転、2～5日下落後の陽線、出来高増加を伴う反転,,https://finance.yahoo.co.jp/quote/4259.T
2026-08-14,6464,ツバキ・ナカシマ,プライム,327.0,1.24,-18.25,-16.15,-12.62,0.63,22.2,340.0,327.0,313.0,340.0,349.0,313.0,313.0,344.29,322.09,322.09,20,S,15.91,61.46,-3.12,36.14,374.24,376.37,359.42,-1.78σ,2.25,陰線→陽線 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,293.7,393.61,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -2σ付近から反発、ストキャス売られ過ぎから反転、%K反転、長い下ヒゲ反転、2～5日下落後の陽線、出来高増加を伴う反転,,https://finance.yahoo.co.jp/quote/6464.T
2026-08-14,6141,ＤＭＧ森精機,プライム,3303.0,0.7,-10.1,-12.15,-8.35,0.4,192.74,3408.0,3309.0,3231.0,3408.0,3740.0,3231.0,3231.0,3432.64,3270.72,3270.72,20,S,9.61,49.64,-8.48,39.68,3604.04,3505.64,3028.96,-1.80σ,1.93,陰線→陽線 / 長い下ヒゲ（ハンマー） / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,3013.89,3881.22,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -2σ付近から反発、ストキャス売られ過ぎから反転、%K反転、長い下ヒゲ反転、2～5日下落後の陽線、出来高増加を伴う反転,,https://finance.yahoo.co.jp/quote/6141.T
2026-08-14,7936,アシックス,プライム,5281.0,10.81,4.66,6.73,8.71,3.34,199.71,4869.0,5389.0,4721.0,5389.0,5389.0,4644.0,4593.0,4748.82,4620.49,4620.49,19,除外,85.5,58.68,2.72,65.26,4857.92,4623.25,4296.04,+3.15σ,7.74,陰線→陽線 / 前日安値割れ反転 / 2～5日下落後の陽線,強,買い,BB逆張り / 底固め / アンチ,3,0.0,4644.0,6555.0,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、長い下ヒゲ反転、2～5日下落後の陽線、出来高増加を伴う反転、直近安値切り上げ、BB幅収縮、レンジ上限突破,急騰済み（当日急騰、BB +2σ大幅超過、ストップ高に近い急騰）,https://finance.yahoo.co.jp/quote/7936.T
2026-08-14,4889,レナサイエンス,グロース,1201.0,3.09,-5.21,-21.86,-17.71,0.75,115.29,1217.0,1224.0,1138.0,1224.0,1273.0,1101.0,1101.0,1311.92,1179.89,1179.89,19,S,21.01,51.26,-0.78,35.04,1459.56,1487.47,1632.58,-1.84σ,1.3,長い下ヒゲ（ハンマー） / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,1028.07,1546.86,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -2σ付近から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、長い下ヒゲ反転、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/4889.T
2026-08-14,6226,守谷輸送機工業,スタンダード,2041.0,1.8,0.49,-1.78,-12.56,0.49,126.84,2028.0,2059.0,1997.0,2059.0,2059.0,1986.0,1986.0,2092.51,1874.66,1874.66,19,S,14.82,16.35,-2.45,37.32,2334.28,2246.08,2390.57,-1.24σ,0.68,陰線→陽線 / 強気包み足 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,1850.74,2421.52,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、陽の包み足、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/6226.T
2026-08-14,3911,Ａｉｍｉｎｇ,グロース,172.0,1.18,-0.58,0.0,-9.53,0.6,6.71,172.0,173.0,169.0,173.0,173.0,168.0,168.0,172.82,157.74,157.74,19,S,57.14,15.54,-1.59,36.33,190.12,183.67,205.99,-1.05σ,0.51,陰線→陽線 / 強気包み足 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,161.93,192.14,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、陽の包み足、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/3911.T
2026-08-14,1861,熊谷組,プライム,1303.0,0.93,0.93,-8.82,-8.45,0.8,38.7,1301.0,1316.0,1285.0,1316.0,1316.0,1250.0,1250.0,1346.48,1283.56,1283.56,19,S,28.65,26.21,-0.52,30.63,1423.24,1427.57,1553.21,-1.69σ,2.11,陰線→陽線 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,1244.96,1419.09,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -2σ付近から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、2～5日下落後の陽線、出来高増加を伴う反転,,https://finance.yahoo.co.jp/quote/1861.T
