シグナル日,コード,会社名,市場,現在値,前日比,直近3日騰落率,直近5日騰落率,25日線乖離率,ATR当日値幅,ATR14,前日高値,反転足高値,反転足安値,直近2日高値,直近3日高値,直近安値,直近支持線,BB-1σ,BB-2σ,BB下限,スコア,ランク,%K,%D,%D傾き,RSI14,MA25,MA75,MA200,BB位置,出来高倍率,ローソク足パターン,アンチ判定,買い・売り,シグナル種別,シグナル数,自社株買い比率,損切り候補,利確候補,RR,判定理由,除外理由,Yahoo Financeリンク,売残,買残,売残前週比,買残前週比,信用倍率,基準日,取得元URL,取得日時,テクニカルスコア,信用需給による減点,信用需給スコア,総合調整後スコア,テクニカル順位,調整後順位,信用需給判定,信用需給判定理由
2026-08-17,6464,ツバキ・ナカシマ,プライム,340.0,3.98,0.0,-13.71,-8.56,0.74,21.76,327.0,343.0,327.0,343.0,343.0,313.0,313.0,341.8,319.75,319.75,20,S,30.68,59.05,-4.31,40.9,371.84,376.67,359.17,-1.08σ,1.47,強気包み足 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,307.36,405.28,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、陽の包み足、2～5日下落後の陽線、出来高増加を伴う反転 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/6464.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,20.0,0,0,20.0,1,1,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-17,4755,楽天グループ,プライム,777.4,1.78,4.35,-12.31,-4.4,1.22,30.28,779.6,790.4,753.6,790.4,790.4,744.2,744.2,778.53,741.81,741.81,19,S,23.33,55.86,-21.88,44.76,813.16,772.94,851.27,-1.03σ,1.53,強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,731.98,868.25,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線、出来高増加を伴う反転 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/4755.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,19.0,0,0,19.0,2,2,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-17,6787,メイコー,プライム,19360.0,6.08,7.74,3.03,-12.13,0.67,2163.9,19430.0,19600.0,18160.0,19600.0,19600.0,16440.0,16440.0,18649.7,16233.91,16233.91,18,S,35.01,42.95,1.91,41.29,22032.0,29927.47,21534.2,-0.71σ,0.86,陰線→陽線 / 強気包み足 / 2～5日下落後の陽線,通常,買い,BB逆張り / アンチ,2,0.0,16114.15,25851.7,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、陽の包み足、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/6787.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,18.0,0,0,18.0,3,3,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-17,6656,インスペック,スタンダード,908.0,4.01,3.3,0.11,-10.58,0.57,88.93,912.0,908.0,857.0,912.0,912.0,815.0,794.0,869.52,770.6,770.6,18,S,51.35,39.5,7.54,42.67,1015.4,1017.79,757.73,-0.61σ,0.55,陰線→陽線 / 強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,強,買い,BB逆張り / アンチ,2,0.0,774.6,1174.8,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/6656.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,18.0,0,0,18.0,3,3,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-17,4935,リベルタ,スタンダード,228.0,1.79,6.05,-6.56,-16.04,0.48,27.18,230.0,229.0,216.0,230.0,230.0,212.0,212.0,223.51,196.22,196.22,18,S,32.0,22.0,5.44,43.08,271.56,259.49,308.02,-0.84σ,0.28,強気包み足 / 長い下ヒゲ（ハンマー） / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,187.24,309.53,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/4935.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,18.0,0,0,18.0,3,3,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-17,7211,三菱自動車工業,プライム,348.0,1.52,0.37,-0.34,-4.05,0.49,13.12,345.5,350.0,343.6,350.0,350.0,341.1,339.2,344.22,327.24,327.24,17,S,57.14,22.62,-11.72,47.62,362.69,344.85,361.65,-0.78σ,0.65,陰線→陽線 / 長い下ヒゲ（ハンマー） / 2～5日下落後の陽線,なし,買い,BB逆張り / 底固め,2,0.0,328.32,387.35,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、長い下ヒゲ反転、2～5日下落後の陽線、直近安値切り上げ、BB幅収縮、RSI安値切り上げ / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/7211.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,17.0,0,0,17.0,6,6,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-17,4889,レナサイエンス,グロース,1320.0,9.91,14.29,-13.1,-9.23,0.98,117.27,1224.0,1344.0,1229.0,1344.0,1344.0,1101.0,1101.0,1300.46,1167.07,1167.07,17,除外,46.01,50.81,1.7,43.69,1454.24,1489.32,1629.72,-0.85σ,2.01,2～5日下落後の陽線,通常,買い,BB逆張り / アンチ,2,0.0,1101.0,1758.0,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、2～5日下落後の陽線、出来高増加を伴う反転 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（当日急騰、3営業日急騰）,https://finance.yahoo.co.jp/quote/4889.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,17.0,0,0,17.0,6,6,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-17,4971,メック,プライム,7970.0,5.7,3.64,-9.94,-6.19,0.75,708.31,7990.0,7980.0,7450.0,7990.0,7990.0,7450.0,7130.0,7702.53,7044.56,7044.56,17,S,23.96,49.29,-5.22,44.08,8495.6,9749.07,7385.3,-0.59σ,1.48,陰線→陽線 / 強気包み足 / はらみ足 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,6907.53,10094.94,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、陽の包み足、2～5日下落後の陽線、出来高増加を伴う反転 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/4971.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,17.0,0,0,17.0,6,6,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-17,6278,ユニオンツール,プライム,17160.0,4.83,3.5,4.06,-2.08,0.86,1572.97,17130.0,17340.0,15980.0,17340.0,17340.0,15980.0,13210.0,15323.76,13837.01,13837.01,16,S,48.29,51.37,4.66,47.09,17524.4,20087.2,14631.5,+0.24σ,0.56,陰線→陽線 / 強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,通常,買い,アンチ,1,0.0,14800.54,21878.92,2.0,直近2～5日まで下落、ストキャス売られ過ぎから反転、%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/6278.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,16.0,0,0,16.0,9,9,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-17,6807,日本航空電子工業,プライム,2345.0,0.77,1.91,-0.21,-1.96,0.75,63.69,2350.0,2355.0,2307.0,2355.0,2355.0,2288.0,2284.0,2324.57,2254.7,2254.7,15,S,58.76,30.63,5.17,46.57,2391.88,2403.19,2456.98,-0.71σ,0.82,陰線→陽線 / 強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,通常,買い,BB逆張り / アンチ,2,0.0,2249.47,2536.07,2.0,直近2～5日まで下落、BB -1σ以下から反発、%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/6807.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,15.0,0,0,15.0,10,10,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
