シグナル日,コード,会社名,市場,現在値,前日比,直近3日騰落率,直近5日騰落率,25日線乖離率,ATR当日値幅,ATR14,前日高値,反転足高値,反転足安値,直近2日高値,直近3日高値,直近安値,直近支持線,BB-1σ,BB-2σ,BB下限,スコア,ランク,%K,%D,%D傾き,RSI14,MA25,MA75,MA200,BB位置,出来高倍率,ローソク足パターン,アンチ判定,買い・売り,シグナル種別,シグナル数,自社株買い比率,損切り候補,利確候補,RR,判定理由,除外理由,Yahoo Financeリンク,売残,買残,売残前週比,買残前週比,信用倍率,基準日,取得元URL,取得日時,テクニカルスコア,信用需給による減点,信用需給スコア,総合調整後スコア,テクニカル順位,調整後順位,信用需給判定,信用需給判定理由
2026-08-21,7177,ＧＭＯフィナンシャルホールディングス,スタンダード,1126.0,2.83,3.3,2.18,4.33,1.67,26.34,1095.0,1126.0,1082.0,1126.0,1126.0,1064.0,1032.0,1069.05,1052.69,1052.69,17,除外,100.0,60.99,-7.39,64.13,1079.24,1056.23,968.72,+2.48σ,1.36,強気包み足 / 2～5日下落後の陽線,なし,買い,底固め,1,0.0,1064.0,1250.0,2.0,直近2～5日まで下落、ストキャス売られ過ぎから反転、%K反転、陽の包み足、2～5日下落後の陽線、出来高増加を伴う反転、BB幅収縮、出来高減少後の増加、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/7177.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,17.0,0,0,17.0,24,24,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,4914,高砂香料工業,プライム,1315.0,2.9,3.06,2.73,7.08,1.64,26.9,1278.0,1318.0,1274.0,1318.0,1318.0,1255.0,1165.0,1194.33,1151.71,1151.71,15,除外,95.24,83.36,10.76,72.15,1228.08,1165.37,1308.29,+1.83σ,1.34,強気包み足 / 2～5日下落後の陽線,強,買い,底固め / アンチ,2,0.0,1255.0,1435.0,2.0,直近2～5日まで下落、%K反転、%D方向改善、陽の包み足、2～5日下落後の陽線、出来高増加を伴う反転、直近安値切り上げ、出来高減少後の増加、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（高RSI）,https://finance.yahoo.co.jp/quote/4914.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,15.0,0,0,15.0,54,54,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,4005,住友化学,プライム,559.8,7.18,5.15,5.52,6.6,1.94,18.47,532.9,560.8,525.0,560.8,560.8,508.8,471.4,503.85,486.36,486.36,15,除外,98.08,72.81,6.65,60.96,525.14,546.83,512.06,+2.20σ,1.74,陰線→陽線 / 2～5日下落後の陽線,強,買い,底固め / アンチ,2,0.0,508.8,661.8,2.0,直近2～5日まで下落、ストキャス売られ過ぎから反転、%K反転、%D方向改善、2～5日下落後の陽線、出来高増加を伴う反転、直近安値切り上げ、出来高減少後の増加、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/4005.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,15.0,0,0,15.0,54,54,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,2607,不二製油,プライム,4612.0,2.76,2.85,1.45,11.04,0.96,145.2,4579.0,4698.0,4558.0,4698.0,4698.0,4425.0,3760.0,3945.47,3674.54,3674.54,12,除外,70.14,71.3,4.21,71.05,4153.56,3851.61,3716.33,+1.46σ,1.63,陰線→陽線 / 2～5日下落後の陽線,通常,買い,底固め / アンチ,2,0.0,4394.2,5047.61,2.0,直近2～5日まで下落、%K反転、%D方向改善、2～5日下落後の陽線、出来高増加を伴う反転、直近安値切り上げ、出来高減少後の増加、RSI安値切り上げ / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（25日線上方乖離）,https://finance.yahoo.co.jp/quote/2607.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,12.0,0,0,12.0,96,96,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,3864,三菱製紙,プライム,1199.0,3.27,4.17,4.08,4.51,1.87,43.76,1173.0,1217.0,1135.0,1217.0,1217.0,1130.0,1081.0,1120.56,1096.31,1096.31,12,除外,79.31,47.43,-3.78,63.98,1147.28,1072.21,864.74,+2.24σ,1.87,強気包み足 / 前日安値割れ反転,なし,買い,底固め,1,0.0,1130.0,1337.0,2.0,%K反転、陽の包み足、長い下ヒゲ反転、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、出来高減少後の増加、RSI安値切り上げ / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/3864.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,12.0,0,0,12.0,96,96,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,4443,Ｓａｎｓａｎ,プライム,2231.0,0.5,12.0,5.94,14.45,0.5,98.06,2226.0,2233.0,2184.0,2233.0,2233.0,1876.0,1744.0,1879.45,1773.39,1773.39,11,除外,99.44,66.25,20.92,71.72,1949.24,1666.92,1542.12,+2.31σ,1.01,強気包み足 / 長い下ヒゲ（ハンマー）,なし,買い,底固め,1,0.0,1876.0,2941.0,2.0,%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（25日線上方乖離、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/4443.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,11.0,0,0,11.0,113,113,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,4784,ＧＭＯインターネット,プライム,603.0,5.42,3.25,5.98,10.71,1.54,30.42,587.0,613.0,566.0,613.0,613.0,531.0,495.0,525.45,501.41,501.41,11,除外,87.8,58.03,3.0,61.69,544.68,527.25,682.5,+2.22σ,2.25,強気包み足,なし,買い,底固め,1,0.0,531.0,747.0,2.0,%K反転、%D方向改善、陽の包み足、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（25日線上方乖離、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/4784.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,11.0,0,0,11.0,113,113,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,4587,ペプチドリーム,プライム,1114.5,1.18,8.68,8.05,13.04,0.73,43.7,1114.0,1124.5,1092.5,1124.5,1124.5,983.8,906.4,938.19,885.68,885.68,9,除外,93.42,75.13,0.47,69.48,985.98,1031.6,1315.62,+2.36σ,1.01,強気包み足,なし,買い,底固め,1,0.0,983.8,1375.9,2.0,%K反転、%D方向改善、陽の包み足、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（25日線上方乖離、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/4587.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,9.0,0,0,9.0,144,144,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,8541,愛媛銀行,プライム,3260.0,3.49,-1.81,6.36,15.43,1.15,135.13,3270.0,3280.0,3125.0,3280.0,3320.0,3080.0,2540.0,2717.14,2512.34,2512.34,9,除外,81.84,81.79,11.75,69.63,2824.24,2297.08,1847.18,+1.65σ,0.55,陰線→陽線 / 強気包み足,強,買い,底固め / アンチ,2,0.0,3057.31,3665.39,2.0,%K反転、%D方向改善、陽の包み足、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、RSI安値切り上げ / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（25日線上方乖離）,https://finance.yahoo.co.jp/quote/8541.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,9.0,0,0,9.0,144,144,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,8133,伊藤忠エネクス,プライム,2230.0,1.92,2.11,3.96,5.6,1.15,45.31,2194.0,2238.0,2186.0,2238.0,2238.0,2137.0,1999.0,2077.1,2029.61,2029.61,9,除外,93.5,75.33,18.72,67.87,2111.76,2034.65,1972.2,+2.22σ,1.18,強気包み足,なし,買い,底固め,1,0.0,2137.0,2416.0,2.0,%K反転、%D方向改善、陽の包み足、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/8133.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,9.0,0,0,9.0,144,144,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
