acquired_at,code,source,document_id,source_reference,status,reason
2026-08-14T17:41:25.813592+00:00,4751,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1860,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6969,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4755,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1968,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3299,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4889,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4975,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4971,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,8508,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4275,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1969,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1944,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4901,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1952,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4047,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6544,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,8848,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7715,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3479,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6787,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4078,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6768,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4980,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6145,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6656,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6703,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1815,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7760,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1959,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4368,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4935,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7915,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7917,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1976,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,9517,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6118,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,5989,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6209,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6266,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6458,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6845,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1950,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4548,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6976,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6807,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,9006,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3905,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3837,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6526,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6856,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1407,EDINET,,,failure,EDINET_API_KEY未設定
