コード,売残,買残,売残前週比,買残前週比,信用倍率,基準日,取得元URL,取得日時
3591,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
4259,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
6464,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
6141,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
9065,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
6226,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
4889,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
7936,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
1861,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
3911,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
4088,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
4751,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
4275,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
4375,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
9467,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
9005,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
4755,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
1893,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
4901,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
6376,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
3984,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
6638,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
7746,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
7318,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
6849,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
7138,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
9735,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
7917,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
1926,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
8715,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
1802,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
1812,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
1979,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
4385,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
2201,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
5463,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
9024,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
5574,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
5408,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
5852,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
9436,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
7860,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
5105,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
2980,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
6969,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
2685,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
3673,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
1968,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
2413,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
6544,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
6840,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
7476,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
3544,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
2730,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
9880,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
2175,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
9678,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
9960,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
7202,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
6433,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし
