シグナル日,コード,会社名,市場,現在値,前日比,直近3日騰落率,直近5日騰落率,25日線乖離率,ATR当日値幅,スコア,ランク,%K,%D,%D傾き,RSI14,MA25,MA75,MA200,BB位置,出来高倍率,ローソク足パターン,アンチ判定,買い・売り,シグナル種別,シグナル数,自社株買い比率,損切り候補,利確候補,RR,判定理由,除外理由,Yahoo Financeリンク
2026-08-14,9984,ソフトバンクグループ,プライム,5788.0,3.82,,,,,12,S,71.96,66.29,14.77,51.63,5636.96,6220.23,5122.8,+0.88σ,0.62,なし,強,買い,,,,5179.65,7004.7,2.0,%D方向一致、%K押し・戻りから反転、%Kが%Dをクロス、200日線方向一致、MA25傾き一致、RSIゾーン反転,,https://finance.yahoo.co.jp/quote/9984.T
2026-08-14,4385,メルカリ,プライム,4787.0,0.99,,,,,12,S,63.47,57.4,0.79,58.88,4590.0,4200.53,3557.59,+1.03σ,0.82,強気包み足 / 前日安値割れ反転,通常,買い,,,,4459.36,5442.29,2.0,%D方向一致、%K押し・戻りから反転、200日線方向一致、MA25傾き一致、MA75傾き一致、包み足,,https://finance.yahoo.co.jp/quote/4385.T
2026-08-14,5842,インテグラル,グロース,3005.0,-2.59,5.51,4.89,4.25,1.59,23,S,58.44,61.55,-0.55,55.86,2882.52,3105.93,3285.15,+1.47σ,2.84,陽線→陰線 / 前日高値超え反転,強,売り,,,,3175.17,2664.65,2.0,%D方向一致、%K押し・戻りから反転、%Kが%Dをクロス、200日線方向一致、MA75傾き一致、RSI強反転、RSIゾーン反転、BB±2σ反転、BB±1σ反転、ローソク色反転、出来高1.5倍以上,,https://finance.yahoo.co.jp/quote/5842.T
2026-08-14,6287,サトー,プライム,2779.0,-4.83,6.48,7.34,10.75,2.32,19,S,63.92,82.0,-0.93,69.2,2509.36,2333.41,2324.8,+2.02σ,2.06,なし,強,売り,,,,2950.0,2437.0,2.0,%D方向一致、%K押し・戻りから反転、%Kが%Dをクロス、RSI強反転、RSIゾーン反転、BB±2σ反転、BB±1σ反転、出来高1.5倍以上,,https://finance.yahoo.co.jp/quote/6287.T
2026-08-13,4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,プライム,982.0,-0.1,1.13,0.61,5.09,0.91,19,S,52.94,68.03,-5.75,61.51,934.44,904.28,973.88,+1.07σ,1.56,弱気包み足 / 長い上ヒゲ / 前日高値超え反転,通常,売り,,,,1037.94,870.11,2.0,%D方向一致、%K押し・戻りから反転、RSI強反転、RSIゾーン反転、BB±1σ反転、包み足、長いヒゲ、出来高1.5倍以上,,https://finance.yahoo.co.jp/quote/4180.T
2026-08-14,2749,ＪＰホールディングス,プライム,650.0,-1.07,3.34,6.21,3.78,1.62,19,S,70.49,41.27,-2.2,63.37,626.32,617.49,662.03,+1.58σ,1.5,はらみ足,通常,売り,,,,669.44,611.12,2.0,%D方向一致、%K押し・戻りから反転、200日線方向一致、MA75傾き一致、RSI強反転、RSIゾーン反転、BB±2σ反転、BB±1σ反転、出来高1.3倍,,https://finance.yahoo.co.jp/quote/2749.T
2026-08-14,6425,ユニバーサルエンターテインメント,スタンダード,752.0,-4.08,-2.46,10.26,9.95,1.03,18,S,71.32,76.98,-0.02,64.0,683.92,705.53,746.7,+1.54σ,0.93,陽線→陰線 / はらみ足,強,売り,,,,801.72,652.57,2.0,%D方向一致、%K押し・戻りから反転、%Kが%Dをクロス、RSI強反転、RSIゾーン反転、BB±2σ反転、BB±1σ反転、ローソク色反転,,https://finance.yahoo.co.jp/quote/6425.T
2026-08-14,6750,エレコム,プライム,1936.0,-3.2,4.37,2.43,4.05,0.99,18,S,61.21,44.01,-4.18,59.74,1860.6,1758.91,1737.47,+1.39σ,2.33,陽線→陰線 / はらみ足,通常,売り,,,,2012.02,1783.95,2.0,%D方向一致、%K押し・戻りから反転、RSI強反転、RSIゾーン反転、BB±2σ反転、BB±1σ反転、ローソク色反転、出来高1.5倍以上,,https://finance.yahoo.co.jp/quote/6750.T
2026-08-14,7936,アシックス,プライム,5219.0,9.5,3.43,5.48,7.49,3.34,17,除外,77.18,57.85,1.89,63.87,4855.44,4622.43,4295.73,+2.90σ,6.96,陰線→陽線 / 前日安値割れ反転 / 2～5日下落後の陽線,強,買い,,,,4644.0,6369.0,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、長い下ヒゲ反転、2～5日下落後の陽線、出来高増加を伴う反転,急騰済み（当日急騰、BB +2σ大幅超過、ストップ高に近い急騰）,https://finance.yahoo.co.jp/quote/7936.T
2026-08-14,2695,くら寿司,プライム,1685.0,-0.41,-0.53,2.62,2.77,0.6,17,S,70.97,60.79,-4.64,58.97,1639.6,1610.55,1679.68,+1.03σ,0.68,陽線→陰線 / 弱気包み足,通常,売り,,,,1737.07,1580.86,2.0,%D方向一致、%K押し・戻りから反転、MA75傾き一致、RSI強反転、RSIゾーン反転、BB±1σ反転、包み足、ローソク色反転,,https://finance.yahoo.co.jp/quote/2695.T
