コード,銘柄名,最終判断,最終分類,注文方式,買いゾーン下限,買いゾーン上限,反転確認高値,逆指値発動価格,追いかけ禁止価格,損切り価格,利確目標,推奨株数,必要資金,最大想定損失,RR,分析評価,運用評価,総合順位点,RSI,BB位置,出来高倍率,暴落リバウンド型,ファンダメンタルスコア,テクニカルスコア,反転確認スコア,市場環境スコア,業種環境スコア,ニュース影響スコア,資金・リスク評価,分析コメント,運用コメント,注文理由,信用需給による減点,信用需給スコア,総合調整後スコア,テクニカル順位,調整後順位,信用需給判定,信用需給判定理由,ファンダメンタル評価,ファンダメンタル十分,ファンダメンタル不足理由,売上高前年同期比,営業利益前年同期比,経常・純利益前年比,EPS,PER,PBR,ROE,自己資本比率,配当利回り,利益状態,業績4象限,配当性向,配当判定,ファンダメンタル加減点理由,今期会社予想,直近決算発表日,次回決算予定日,時価総額,総合判定,判定理由,業績修正,重要適時開示,ファンダメンタル取得元,ファンダメンタル参照先,ファンダメンタル取得日時,stocknote_評価,stocknote_信頼度,stocknote_要約,stocknote_逆張りスコア,stocknote_RSI,stocknote_BB位置,stocknote_トレンド,stocknote_PER,stocknote_PBR,stocknote_財務健全性,stocknote_売上成長,stocknote_利益成長,stocknote_推奨買い価格,stocknote_予想売り価格,stocknote_最終目標価格,stocknote_注意点
6464,ツバキ・ナカシマ,見送り,見送り,見送り,334.56,340.0,343.0,345.18,356.06,312.54,410.46,0,0.0,0.0,2.57,A+,見送り,16.94,40.9,-1.08σ,1.47,False,データなし,20.0,3,-9.0,0,0.0,強いリスクオフ・通常の25%,押し目と反転足を確認。ファンダメンタル=データ不足、RSI 40.9、出来高 1.47倍、BB -1.08σ,方式別実績はサンプル蓄積中。市場=強いリスクオフ、ニュース重大度と300万円の損失・投入・現金・保有数制約を適用,強いリスクオフのため新規主力買い停止,0.0,0.0,20.0,1,1,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能,データ不足,False,公式取得元または参照先なし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,評価不能,評価不能,,評価不能,,データなし,データなし,データなし,データなし,データ不足,公式取得元または参照先なし,,,データなし,データなし,データなし,,,,,,,,,,,,,,,,
4755,楽天グループ,見送り,見送り,見送り,769.83,777.4,790.4,793.43,817.23,741.81,896.66,0,0.0,0.0,3.35,A+,見送り,16.06,44.76,-1.03σ,1.53,False,データなし,19.0,3,-9.0,0,0.0,強いリスクオフ・通常の25%,押し目と反転足を確認。ファンダメンタル=データ不足、RSI 44.8、出来高 1.53倍、BB -1.03σ,方式別実績はサンプル蓄積中。市場=強いリスクオフ、ニュース重大度と300万円の損失・投入・現金・保有数制約を適用,強いリスクオフのため新規主力買い停止,0.0,0.0,19.0,2,2,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能,データ不足,False,公式取得元または参照先なし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,評価不能,評価不能,,評価不能,,データなし,データなし,データなし,データなし,データ不足,公式取得元または参照先なし,,,データなし,データなし,データなし,,,,,,,,,,,,,,,,
4889,レナサイエンス,見送り,見送り,見送り,1271.14,1320.0,1344.0,1355.73,1414.36,1101.0,1865.18,0,0.0,0.0,2.49,C,見送り,15.02,43.69,-0.85σ,2.01,False,データなし,17.0,3,-9.0,0,0.0,強いリスクオフ・通常の25%,急騰済みを最優先して除外。ファンダメンタル=データ不足、RSI 43.7、出来高 2.01倍、BB -0.85σ,方式別実績はサンプル蓄積中。市場=強いリスクオフ、ニュース重大度と300万円の損失・投入・現金・保有数制約を適用,強いリスクオフのため新規主力買い停止,0.0,0.0,17.0,6,6,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能,データ不足,False,公式取得元または参照先なし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,評価不能,評価不能,,評価不能,,データなし,データなし,データなし,データなし,データ不足,公式取得元または参照先なし,,,データなし,データなし,データなし,,,,,,,,,,,,,,,,
4971,メック,見送り,見送り,見送り,7525.45,7879.61,7990.0,8060.83,8414.99,6998.37,10185.76,0,0.0,0.0,2.28,A+,見送り,13.96,44.08,-0.59σ,1.48,False,データなし,17.0,3,-9.0,0,0.0,強いリスクオフ・通常の25%,押し目と反転足を確認。ファンダメンタル=データ不足、RSI 44.1、出来高 1.48倍、BB -0.59σ,方式別実績はサンプル蓄積中。市場=強いリスクオフ、ニュース重大度と300万円の損失・投入・現金・保有数制約を適用,強いリスクオフのため新規主力買い停止,0.0,0.0,17.0,6,6,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能,データ不足,False,公式取得元または参照先なし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,評価不能,評価不能,,評価不能,,データなし,データなし,データなし,データなし,データ不足,公式取得元または参照先なし,,,データなし,データなし,データなし,,,,,,,,,,,,,,,,
7746,岡本硝子,見送り,見送り,見送り,714.77,731.39,787.0,790.33,814.03,704.77,961.44,0,0.0,0.0,3.06,B,見送り,12.86,52.56,+1.45σ,1.93,False,データなし,15.0,3,-9.0,0,0.0,強いリスクオフ・通常の25%,反転条件の完成待ち。ファンダメンタル=データ不足、RSI 52.6、出来高 1.93倍、BB +1.45σ,方式別実績はサンプル蓄積中。市場=強いリスクオフ、ニュース重大度と300万円の損失・投入・現金・保有数制約を適用,強いリスクオフのため新規主力買い停止,0.0,0.0,15.0,10,10,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能,データ不足,False,公式取得元または参照先なし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,評価不能,評価不能,,評価不能,,データなし,データなし,データなし,データなし,データ不足,公式取得元または参照先なし,,,データなし,データなし,データなし,,,,,,,,,,,,,,,,
7211,三菱自動車工業,見送り,見送り,見送り,340.94,347.5,350.0,351.31,361.85,327.24,399.46,100,34800.0,2075.999999999999,2.48,B,見送り,12.3,47.62,-0.78σ,0.65,False,データなし,17.0,3,-9.0,0,0.0,強いリスクオフ・通常の25%,反転条件の完成待ち。ファンダメンタル=データ不足、RSI 47.6、出来高 0.65倍、BB -0.78σ,方式別実績はサンプル蓄積中。市場=強いリスクオフ、ニュース重大度と300万円の損失・投入・現金・保有数制約を適用,強いリスクオフのため新規主力買い停止,0.0,0.0,17.0,6,6,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能,データ不足,False,公式取得元または参照先なし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,評価不能,評価不能,,評価不能,,データなし,データなし,データなし,データなし,データ不足,公式取得元または参照先なし,,,データなし,データなし,データなし,,,,,,,,,,,,,,,,
6278,ユニオンツール,見送り,見送り,見送り,14930.52,15717.0,17340.0,17497.3,18283.78,13837.01,24817.87,0,0.0,0.0,2.3,B,見送り,11.12,47.09,+0.24σ,0.56,False,データなし,16.0,3,-9.0,0,0.0,強いリスクオフ・通常の25%,出来高0.6倍未満のため主力不可。ファンダメンタル=データ不足、RSI 47.1、出来高 0.56倍、BB +0.24σ,方式別実績はサンプル蓄積中。市場=強いリスクオフ、ニュース重大度と300万円の損失・投入・現金・保有数制約を適用,強いリスクオフのため新規主力買い停止,0.0,0.0,16.0,9,9,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能,データ不足,False,公式取得元または参照先なし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,評価不能,評価不能,,評価不能,,データなし,データなし,データなし,データなし,データ不足,公式取得元または参照先なし,,,データなし,データなし,データなし,,,,,,,,,,,,,,,,
6310,井関農機,見送り,見送り,見送り,1770.24,1799.0,1799.0,1806.3,1860.49,1696.81,2025.27,0,0.0,0.0,2.21,B,見送り,11.04,46.46,-0.84σ,1.02,False,データなし,15.0,3,-9.0,0,0.0,強いリスクオフ・通常の25%,反転条件の完成待ち。ファンダメンタル=データ不足、RSI 46.5、出来高 1.02倍、BB -0.84σ,方式別実績はサンプル蓄積中。市場=強いリスクオフ、ニュース重大度と300万円の損失・投入・現金・保有数制約を適用,強いリスクオフのため新規主力買い停止,0.0,0.0,15.0,10,10,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能,データ不足,False,公式取得元または参照先なし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,評価不能,評価不能,,評価不能,,データなし,データなし,データなし,データなし,データ不足,公式取得元または参照先なし,,,データなし,データなし,データなし,,,,,,,,,,,,,,,,
8789,フィンテック　グローバル,見送り,見送り,見送り,126.44,128.43,163.0,163.4,168.3,118.92,252.35,0,0.0,0.0,2.1,C,見送り,11.0,87.62,+3.06σ,3.38,False,データなし,11.0,3,-9.0,0,0.0,強いリスクオフ・通常の25%,急騰済みを最優先して除外。ファンダメンタル=データ不足、RSI 87.6、出来高 3.38倍、BB +3.06σ,方式別実績はサンプル蓄積中。市場=強いリスクオフ、ニュース重大度と300万円の損失・投入・現金・保有数制約を適用,強いリスクオフのため新規主力買い停止,0.0,0.0,11.0,30,30,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能,データ不足,False,公式取得元または参照先なし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,評価不能,評価不能,,評価不能,,データなし,データなし,データなし,データなし,データ不足,公式取得元または参照先なし,,,データなし,データなし,データなし,,,,,,,,,,,,,,,,
6807,日本航空電子工業,見送り,見送り,見送り,2308.65,2340.49,2355.0,2361.37,2432.21,2254.7,2574.71,0,0.0,0.0,2.54,B,見送り,10.64,46.57,-0.71σ,0.82,False,データなし,15.0,3,-9.0,0,0.0,強いリスクオフ・通常の25%,反転条件の完成待ち。ファンダメンタル=データ不足、RSI 46.6、出来高 0.82倍、BB -0.71σ,方式別実績はサンプル蓄積中。市場=強いリスクオフ、ニュース重大度と300万円の損失・投入・現金・保有数制約を適用,強いリスクオフのため新規主力買い停止,0.0,0.0,15.0,10,10,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能,データ不足,False,公式取得元または参照先なし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,評価不能,評価不能,,評価不能,,データなし,データなし,データなし,データなし,データ不足,公式取得元または参照先なし,,,データなし,データなし,データなし,,,,,,,,,,,,,,,,
