code,name,night_category,bank_classification,morning_recheck,rate_regime,rate_wind,rate_confidence,rate_metrics,principle,reasons,missing_data
8366,滋賀銀行,翌朝再確認,押し目監視,True,上昇・フラット化,追い風候補,中,"{'2Y_yield_pct': 1.651, '2Y_change_1d_bp': 0.5, '2Y_change_5d_bp': 8.2, '10Y_yield_pct': 2.873, '10Y_change_1d_bp': 1.7, '10Y_change_5d_bp': 6.0, '30Y_yield_pct': 4.002, '30Y_change_1d_bp': 1.3, '30Y_change_5d_bp': 3.6, 'spread_10y_2y_bp': 122.2, 'spread_change_1d_bp': 1.2, 'spread_change_5d_bp': -2.2, 'rapid_yield_drop': False, 'rapid_inversion': False, 'technical': {'終値': 2691.0, 'MA25': 2642.32, '25日線乖離率': 1.84, 'RSI14': 56.89, 'BB位置': 0.87, '出来高倍率': 0.72, '当日騰落率': 5.08, '3日騰落率': 5.41, '5日騰落率': 3.22, 'reversal_pattern': True, 'volume_confirmed': False, 'trend_maintained': True, 'surge_excluded': False}}",金利上昇基調でも高値追いせず、反転確認後の押し目を拾う,"['金利局面=上昇・フラット化（追い風候補、確信度=中）', '金利追い風だけでは昇格せず、反転足または出来高の完成待ち']",[]
8368,百五銀行,避ける,追いかけ禁止,False,上昇・フラット化,追い風候補,中,"{'2Y_yield_pct': 1.651, '2Y_change_1d_bp': 0.5, '2Y_change_5d_bp': 8.2, '10Y_yield_pct': 2.873, '10Y_change_1d_bp': 1.7, '10Y_change_5d_bp': 6.0, '30Y_yield_pct': 4.002, '30Y_change_1d_bp': 1.3, '30Y_change_5d_bp': 3.6, 'spread_10y_2y_bp': 122.2, 'spread_change_1d_bp': 1.2, 'spread_change_5d_bp': -2.2, 'rapid_yield_drop': False, 'rapid_inversion': False, 'technical': {'終値': 2278.0, 'MA25': 2069.96, '25日線乖離率': 10.05, 'RSI14': 63.29, 'BB位置': 2.23, '出来高倍率': 1.16, '当日騰落率': 5.95, '3日騰落率': 7.4, '5日騰落率': 5.12, 'reversal_pattern': True, 'volume_confirmed': True, 'trend_maintained': True, 'surge_excluded': True}}",金利上昇基調でも高値追いせず、反転確認後の押し目を拾う,"['金利局面=上昇・フラット化（追い風候補、確信度=中）', '急騰除外またはテクニカル過熱']",[]
8338,筑波銀行,避ける,追いかけ禁止,False,上昇・フラット化,追い風候補,中,"{'2Y_yield_pct': 1.651, '2Y_change_1d_bp': 0.5, '2Y_change_5d_bp': 8.2, '10Y_yield_pct': 2.873, '10Y_change_1d_bp': 1.7, '10Y_change_5d_bp': 6.0, '30Y_yield_pct': 4.002, '30Y_change_1d_bp': 1.3, '30Y_change_5d_bp': 3.6, 'spread_10y_2y_bp': 122.2, 'spread_change_1d_bp': 1.2, 'spread_change_5d_bp': -2.2, 'rapid_yield_drop': False, 'rapid_inversion': False, 'technical': {'終値': 724.0, 'MA25': 648.8, '25日線乖離率': 11.59, 'RSI14': 62.42, 'BB位置': 2.31, '出来高倍率': 1.64, '当日騰落率': 8.22, '3日騰落率': 10.2, '5日騰落率': 8.38, 'reversal_pattern': True, 'volume_confirmed': True, 'trend_maintained': True, 'surge_excluded': True}}",金利上昇基調でも高値追いせず、反転確認後の押し目を拾う,"['金利局面=上昇・フラット化（追い風候補、確信度=中）', '急騰除外またはテクニカル過熱']",[]
8399,琉球銀行,避ける,追いかけ禁止,False,上昇・フラット化,追い風候補,中,"{'2Y_yield_pct': 1.651, '2Y_change_1d_bp': 0.5, '2Y_change_5d_bp': 8.2, '10Y_yield_pct': 2.873, '10Y_change_1d_bp': 1.7, '10Y_change_5d_bp': 6.0, '30Y_yield_pct': 4.002, '30Y_change_1d_bp': 1.3, '30Y_change_5d_bp': 3.6, 'spread_10y_2y_bp': 122.2, 'spread_change_1d_bp': 1.2, 'spread_change_5d_bp': -2.2, 'rapid_yield_drop': False, 'rapid_inversion': False, 'technical': {'終値': 3195.0, 'MA25': 2929.36, '25日線乖離率': 9.07, 'RSI14': 69.34, 'BB位置': 2.16, '出来高倍率': 1.43, '当日騰落率': 4.58, '3日騰落率': 3.23, '5日騰落率': 6.89, 'reversal_pattern': True, 'volume_confirmed': True, 'trend_maintained': True, 'surge_excluded': False}}",金利上昇基調でも高値追いせず、反転確認後の押し目を拾う,"['金利局面=上昇・フラット化（追い風候補、確信度=中）', '急騰除外またはテクニカル過熱']",[]
5831,しずおかフィナンシャルグループ,翌朝再確認,押し目監視,True,上昇・フラット化,追い風候補,中,"{'2Y_yield_pct': 1.651, '2Y_change_1d_bp': 0.5, '2Y_change_5d_bp': 8.2, '10Y_yield_pct': 2.873, '10Y_change_1d_bp': 1.7, '10Y_change_5d_bp': 6.0, '30Y_yield_pct': 4.002, '30Y_change_1d_bp': 1.3, '30Y_change_5d_bp': 3.6, 'spread_10y_2y_bp': 122.2, 'spread_change_1d_bp': 1.2, 'spread_change_5d_bp': -2.2, 'rapid_yield_drop': False, 'rapid_inversion': False, 'technical': {'終値': 3480.0, 'MA25': 3304.04, '25日線乖離率': 5.33, 'RSI14': 63.14, 'BB位置': 1.75, '出来高倍率': 1.05, '当日騰落率': 2.29, '3日騰落率': 1.96, '5日騰落率': 8.04, 'reversal_pattern': True, 'volume_confirmed': True, 'trend_maintained': True, 'surge_excluded': False}}",金利上昇基調でも高値追いせず、反転確認後の押し目を拾う,"['金利局面=上昇・フラット化（追い風候補、確信度=中）', '金利追い風だけでは昇格せず、反転足または出来高の完成待ち']",[]
8316,三井住友フィナンシャルグループ,翌朝再確認,押し目監視,True,上昇・フラット化,追い風候補,中,"{'2Y_yield_pct': 1.651, '2Y_change_1d_bp': 0.5, '2Y_change_5d_bp': 8.2, '10Y_yield_pct': 2.873, '10Y_change_1d_bp': 1.7, '10Y_change_5d_bp': 6.0, '30Y_yield_pct': 4.002, '30Y_change_1d_bp': 1.3, '30Y_change_5d_bp': 3.6, 'spread_10y_2y_bp': 122.2, 'spread_change_1d_bp': 1.2, 'spread_change_5d_bp': -2.2, 'rapid_yield_drop': False, 'rapid_inversion': False, 'technical': {'終値': 6969.0, 'MA25': 6874.92, '25日線乖離率': 1.37, 'RSI14': 56.3, 'BB位置': 0.46, '出来高倍率': 0.9, '当日騰落率': 1.63, '3日騰落率': 2.76, '5日騰落率': 4.55, 'reversal_pattern': True, 'volume_confirmed': False, 'trend_maintained': True, 'surge_excluded': False}}",金利上昇基調でも高値追いせず、反転確認後の押し目を拾う,"['金利局面=上昇・フラット化（追い風候補、確信度=中）', '金利追い風だけでは昇格せず、反転足または出来高の完成待ち']",[]
8714,池田泉州ホールディングス,翌朝再確認,押し目監視,True,上昇・フラット化,追い風候補,中,"{'2Y_yield_pct': 1.651, '2Y_change_1d_bp': 0.5, '2Y_change_5d_bp': 8.2, '10Y_yield_pct': 2.873, '10Y_change_1d_bp': 1.7, '10Y_change_5d_bp': 6.0, '30Y_yield_pct': 4.002, '30Y_change_1d_bp': 1.3, '30Y_change_5d_bp': 3.6, 'spread_10y_2y_bp': 122.2, 'spread_change_1d_bp': 1.2, 'spread_change_5d_bp': -2.2, 'rapid_yield_drop': False, 'rapid_inversion': False, 'technical': {'終値': 1099.0, 'MA25': 1023.24, '25日線乖離率': 7.4, 'RSI14': 62.64, 'BB位置': 1.79, '出来高倍率': 1.45, '当日騰落率': 5.77, '3日騰落率': 6.6, '5日騰落率': 7.32, 'reversal_pattern': False, 'volume_confirmed': True, 'trend_maintained': True, 'surge_excluded': False}}",金利上昇基調でも高値追いせず、反転確認後の押し目を拾う,"['金利局面=上昇・フラット化（追い風候補、確信度=中）', '金利追い風だけでは昇格せず、反転足または出来高の完成待ち']",[]
5844,京都フィナンシャルグループ,避ける,追いかけ禁止,True,上昇・フラット化,追い風候補,中,"{'2Y_yield_pct': 1.651, '2Y_change_1d_bp': 0.5, '2Y_change_5d_bp': 8.2, '10Y_yield_pct': 2.873, '10Y_change_1d_bp': 1.7, '10Y_change_5d_bp': 6.0, '30Y_yield_pct': 4.002, '30Y_change_1d_bp': 1.3, '30Y_change_5d_bp': 3.6, 'spread_10y_2y_bp': 122.2, 'spread_change_1d_bp': 1.2, 'spread_change_5d_bp': -2.2, 'rapid_yield_drop': False, 'rapid_inversion': False, 'technical': {'終値': 5000.0, 'MA25': 4638.96, '25日線乖離率': 7.78, 'RSI14': 67.13, 'BB位置': 2.85, '出来高倍率': 1.59, '当日騰落率': 5.06, '3日騰落率': 7.11, '5日騰落率': 6.91, 'reversal_pattern': False, 'volume_confirmed': True, 'trend_maintained': True, 'surge_excluded': True}}",金利上昇基調でも高値追いせず、反転確認後の押し目を拾う,"['金利局面=上昇・フラット化（追い風候補、確信度=中）', '急騰除外またはテクニカル過熱']",[]
5838,楽天銀行,避ける,追いかけ禁止,True,上昇・フラット化,追い風候補,中,"{'2Y_yield_pct': 1.651, '2Y_change_1d_bp': 0.5, '2Y_change_5d_bp': 8.2, '10Y_yield_pct': 2.873, '10Y_change_1d_bp': 1.7, '10Y_change_5d_bp': 6.0, '30Y_yield_pct': 4.002, '30Y_change_1d_bp': 1.3, '30Y_change_5d_bp': 3.6, 'spread_10y_2y_bp': 122.2, 'spread_change_1d_bp': 1.2, 'spread_change_5d_bp': -2.2, 'rapid_yield_drop': False, 'rapid_inversion': False, 'technical': {'終値': 5916.0, 'MA25': 5586.76, '25日線乖離率': 5.89, 'RSI14': 60.99, 'BB位置': 2.2, '出来高倍率': 1.17, '当日騰落率': 3.97, '3日騰落率': 2.41, '5日騰落率': 6.56, 'reversal_pattern': False, 'volume_confirmed': True, 'trend_maintained': True, 'surge_excluded': True}}",金利上昇基調でも高値追いせず、反転確認後の押し目を拾う,"['金利局面=上昇・フラット化（追い風候補、確信度=中）', '急騰除外またはテクニカル過熱']",[]
5832,ちゅうぎんフィナンシャルグループ,避ける,追いかけ禁止,True,上昇・フラット化,追い風候補,中,"{'2Y_yield_pct': 1.651, '2Y_change_1d_bp': 0.5, '2Y_change_5d_bp': 8.2, '10Y_yield_pct': 2.873, '10Y_change_1d_bp': 1.7, '10Y_change_5d_bp': 6.0, '30Y_yield_pct': 4.002, '30Y_change_1d_bp': 1.3, '30Y_change_5d_bp': 3.6, 'spread_10y_2y_bp': 122.2, 'spread_change_1d_bp': 1.2, 'spread_change_5d_bp': -2.2, 'rapid_yield_drop': False, 'rapid_inversion': False, 'technical': {'終値': 3535.0, 'MA25': 3331.48, '25日線乖離率': 6.11, 'RSI14': 64.8, 'BB位置': 2.3, '出来高倍率': 1.03, '当日騰落率': 3.91, '3日騰落率': 4.43, '5日騰落率': 5.59, 'reversal_pattern': False, 'volume_confirmed': True, 'trend_maintained': True, 'surge_excluded': True}}",金利上昇基調でも高値追いせず、反転確認後の押し目を拾う,"['金利局面=上昇・フラット化（追い風候補、確信度=中）', '急騰除外またはテクニカル過熱']",[]
