code,name,sector,category
1952,新日本空調,,押し目候補
6544,ジャパンエレベーターサービスホールディングス,,押し目候補
1944,きんでん,,押し目候補
1969,高砂熱学工業,,押し目候補
4901,富士フイルムホールディングス,,押し目候補
4275,カーリット,,押し目候補
4047,関東電化工業,,押し目候補
6787,メイコー,,押し目候補
6656,インスペック,,押し目候補
6145,ＮＩＴＴＯＫＵ,,押し目候補
6768,タムラ製作所,,押し目候補
1959,クラフティア,,押し目候補
7760,ＩＭＶ,,押し目候補
1815,鉄建建設,,押し目候補
4980,デクセリアルズ,,押し目候補
4368,扶桑化学工業,,押し目候補
4935,リベルタ,,押し目候補
6845,アズビル,,押し目候補
6458,新晃工業,,押し目候補
6807,日本航空電子工業,,押し目候補
7917,ＺＡＣＲＯＳ,,押し目候補
1950,日本電設工業,,押し目候補
5989,エイチワン,,押し目候補
4548,生化学工業,,押し目候補
3905,データセクション,,押し目候補
6638,ミマキエンジニアリング,,押し目候補
1942,関電工,,押し目候補
6997,日本ケミコン,,押し目候補
6856,堀場製作所,,押し目候補
6526,ソシオネクスト,,押し目候補
7860,エイベックス,,押し目候補
1938,日本リーテック,,押し目候補
5105,ＴＯＹＯ　ＴＩＲＥ,,押し目候補
3482,ロードスターキャピタル,,押し目候補
6479,ミネベアミツミ,,押し目候補
5706,三井金属,,押し目候補
7003,三井Ｅ＆Ｓ,,押し目候補
1979,大氣社,,押し目候補
7972,イトーキ,,押し目候補
2531,宝ホールディングス,,押し目候補
1926,ライト工業,,押し目候補
3395,サンマルクホールディングス,,押し目候補
5930,文化シヤッター,,押し目候補
2288,丸大食品,,押し目候補
4182,三菱瓦斯化学,,押し目候補
5201,ＡＧＣ,,押し目候補
7746,岡本硝子,,押し目候補
1975,朝日工業社,,押し目候補
4392,ＦＩＧ,,押し目候補
8129,東邦ホールディングス,,押し目候補
2201,森永製菓,,押し目候補
1801,大成建設,,押し目候補
6464,ツバキ・ナカシマ,,押し目候補
7202,いすゞ自動車,,押し目候補
1333,Ｕｍｉｏｓ,,押し目候補
7610,テイツー,,押し目候補
