sector,score,candidate_count,relative_strength,volume_ratio,material_score,macro_score
電気機器,81.9957,81,0.0,0.9957,0.0,0.0
情報・通信業,62.2574,61,0.0,1.2574,0.0,0.0
銀行業,54.1064,53,0.0,1.1064,0.0,0.0
機械,47.0683,46,0.0,1.0683,0.0,0.0
サービス業,45.647,44,0.0,1.647,0.0,0.0
化学,45.3255,44,0.0,1.3255,0.0,0.0
建設業,34.8535,34,0.0,0.8535,0.0,0.0
小売業,34.077,33,0.0,1.077,0.0,0.0
卸売業,24.0343,23,0.0,1.0343,0.0,0.0
精密機器,18.1135,17,0.0,1.1135,0.0,0.0
食料品,17.9312,17,0.0,0.9312,0.0,0.0
不動産業,17.3794,16,0.0,1.3794,0.0,0.0
その他金融業,15.5593,14,0.0,1.5593,0.0,0.0
輸送用機器,15.5007,14,0.0,1.5007,0.0,0.0
その他製品,14.1377,13,0.0,1.1377,0.0,0.0
ガラス・土石製品,12.9658,12,0.0,0.9658,0.0,0.0
証券、商品先物取引業,12.78,12,0.0,0.78,0.0,0.0
医薬品,12.7655,11,0.0,1.7655,0.0,0.0
非鉄金属,12.0582,11,0.0,1.0582,0.0,0.0
陸運業,11.8645,11,0.0,0.8645,0.0,0.0
金属製品,10.0322,9,0.0,1.0322,0.0,0.0
繊維製品,7.8833,6,0.0,1.8833,0.0,0.0
電気・ガス業,5.706,5,0.0,0.706,0.0,0.0
海運業,4.82,4,0.0,0.82,0.0,0.0
パルプ・紙,4.6925,4,0.0,0.6925,0.0,0.0
ゴム製品,4.0067,3,0.0,1.0067,0.0,0.0
鉱業,3.93,2,0.0,1.93,0.0,0.0
鉄鋼,3.8967,3,0.0,0.8967,0.0,0.0
水産・農林業,2.815,2,0.0,0.815,0.0,0.0
保険業,2.07,1,0.0,1.07,0.0,0.0
空運業,2.0,1,0.0,1.0,0.0,0.0
倉庫・運輸関連業,1.73,1,0.0,0.73,0.0,0.0
