code,name,market,industry
1301,極洋,プライム,水産・農林業
1332,ニッスイ,プライム,水産・農林業
1333,Ｕｍｉｏｓ,プライム,水産・農林業
1375,ユキグニファクトリー,プライム,水産・農林業
1376,カネコ種苗,スタンダード,水産・農林業
1377,サカタのタネ,プライム,水産・農林業
1379,ホクト,プライム,水産・農林業
1380,秋川牧園,スタンダード,水産・農林業
1381,アクシーズ,スタンダード,水産・農林業
1382,ホーブ,スタンダード,水産・農林業
1383,ベルグアース,スタンダード,水産・農林業
1384,ホクリヨウ,スタンダード,水産・農林業
1401,エムビーエス,グロース,建設業
1407,ウエストホールディングス,スタンダード,建設業
1414,ショーボンドホールディングス,プライム,建設業
1417,ミライト・ワン,プライム,建設業
1418,インターライフホールディングス,スタンダード,建設業
1419,タマホーム,プライム,建設業
1420,サンヨーホームズ,スタンダード,建設業
1429,日本アクア,プライム,建設業
1430,ファーストコーポレーション,スタンダード,建設業
1431,Ｌｉｂ　Ｗｏｒｋ,グロース,建設業
1433,ベステラ,プライム,建設業
1434,ＪＥＳＣＯホールディングス,スタンダード,建設業
1435,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード,不動産業
1436,グリーンエナジー＆カンパニー,グロース,建設業
1438,岐阜造園,スタンダード,建設業
1443,技研ホールディングス,スタンダード,建設業
1444,ニッソウ,グロース,建設業
1446,キャンディル,スタンダード,建設業
1447,ＳＡＡＦホールディングス,グロース,建設業
1450,ＴＡＮＡＫＥＮ,スタンダード,建設業
1491,中外鉱業,スタンダード,非鉄金属
1514,住石ホールディングス,スタンダード,鉱業
1515,日鉄鉱業,プライム,鉱業
1518,三井松島ホールディングス,プライム,その他製品
1605,ＩＮＰＥＸ,プライム,鉱業
1662,石油資源開発,プライム,鉱業
1663,Ｋ＆Ｏエナジーグループ,プライム,鉱業
1711,ＳＤＳホールディングス,スタンダード,建設業
1716,第一カッター興業,スタンダード,建設業
1717,明豊ファシリティワークス,スタンダード,サービス業
1718,美樹工業,スタンダード,建設業
1719,安藤・間,プライム,建設業
1720,東急建設,プライム,建設業
1721,コムシスホールディングス,プライム,建設業
1723,日本電技,スタンダード,建設業
1724,シンクレイヤ,スタンダード,建設業
1736,オーテック,スタンダード,建設業
1758,太洋基礎工業,スタンダード,建設業
1762,高松コンストラクショングループ,プライム,建設業
1764,工藤建設,スタンダード,建設業
1766,東建コーポレーション,プライム,建設業
1768,ソネック,スタンダード,建設業
1770,藤田エンジニアリング,スタンダード,建設業
1780,ヤマウラ,プライム,建設業
1783,ｆａｎｔａｓｉｓｔａ,スタンダード,不動産業
1786,オリエンタル白石,プライム,建設業
1787,ナカボーテック,スタンダード,建設業
1788,三東工業社,スタンダード,建設業
1793,大本組,スタンダード,建設業
1795,マサル,スタンダード,建設業
1798,守谷商会,スタンダード,建設業
1799,第一建設工業,スタンダード,建設業
1801,大成建設,プライム,建設業
1802,大林組,プライム,建設業
1803,清水建設,プライム,建設業
1807,佐藤渡辺,スタンダード,建設業
1808,長谷工コーポレーション,プライム,建設業
1810,松井建設,スタンダード,建設業
1811,錢高組,スタンダード,建設業
1812,鹿島建設,プライム,建設業
1813,不動テトラ,プライム,建設業
1814,大末建設,プライム,建設業
1815,鉄建建設,プライム,建設業
1820,西松建設,プライム,建設業
1822,大豊建設,スタンダード,建設業
1826,佐田建設,スタンダード,建設業
1827,ナカノフドー建設,スタンダード,建設業
1828,田辺工業,スタンダード,建設業
1833,奥村組,プライム,建設業
1835,東鉄工業,プライム,建設業
1840,土屋ホールディングス,スタンダード,建設業
1844,大盛工業,スタンダード,建設業
1847,イチケン,スタンダード,建設業
1848,富士ピー・エス,スタンダード,建設業
1850,南海辰村建設,スタンダード,建設業
1852,淺沼組,プライム,建設業
1853,森組,スタンダード,建設業
1860,戸田建設,プライム,建設業
1861,熊谷組,プライム,建設業
1866,北野建設,スタンダード,建設業
1867,植木組,スタンダード,建設業
1870,矢作建設工業,プライム,建設業
1871,ピーエス・コンストラクション,プライム,建設業
1873,日本ハウスホールディングス,プライム,建設業
1878,大東建託,プライム,不動産業
1879,新日本建設,プライム,建設業
1882,東亜道路工業,プライム,建設業
1885,東亜建設工業,プライム,建設業
1887,日本国土開発,プライム,建設業
1888,若築建設,プライム,建設業
1893,五洋建設,プライム,建設業
1897,金下建設,スタンダード,建設業
1898,世紀東急工業,プライム,建設業
1899,福田組,プライム,建設業
1904,大成温調,スタンダード,建設業
1905,テノックス,スタンダード,建設業
1909,日本ドライケミカル,スタンダード,機械
1911,住友林業,プライム,建設業
1914,日本基礎技術,スタンダード,建設業
1921,巴コーポレーション,スタンダード,建設業
1925,大和ハウス工業,プライム,建設業
1926,ライト工業,プライム,建設業
1928,積水ハウス,プライム,建設業
1929,日特建設,プライム,建設業
1930,北陸電気工事,プライム,建設業
1934,ユアテック,プライム,建設業
1938,日本リーテック,プライム,建設業
1939,四電工,プライム,建設業
1941,中電工,プライム,建設業
1942,関電工,プライム,建設業
1944,きんでん,プライム,建設業
1945,東京エネシス,プライム,建設業
1946,トーエネック,プライム,建設業
1948,弘電社,スタンダード,建設業
1950,日本電設工業,プライム,建設業
1951,エクシオグループ,プライム,建設業
1952,新日本空調,プライム,建設業
1959,クラフティア,プライム,建設業
1960,サンテック,スタンダード,建設業
1961,三機工業,プライム,建設業
1963,日揮ホールディングス,プライム,建設業
1964,中外炉工業,プライム,建設業
1965,テクノ菱和,スタンダード,建設業
1966,高田工業所,スタンダード,建設業
1967,ヤマト,スタンダード,建設業
1968,太平電業,プライム,建設業
1969,高砂熱学工業,プライム,建設業
1972,三晃金属工業,スタンダード,建設業
1975,朝日工業社,プライム,建設業
1976,明星工業,プライム,建設業
1979,大氣社,プライム,建設業
1980,ダイダン,プライム,建設業
1981,協和日成,スタンダード,建設業
1982,日比谷総合設備,プライム,建設業
1992,神田通信機,スタンダード,建設業
1994,高橋カーテンウォール工業,スタンダード,建設業
1997,暁飯島工業,スタンダード,建設業
2001,ニップン,プライム,食料品
2002,日清製粉グループ本社,プライム,食料品
2003,日東富士製粉,スタンダード,食料品
2004,昭和産業,プライム,食料品
2009,鳥越製粉,スタンダード,食料品
2053,中部飼料,プライム,食料品
2055,日和産業,スタンダード,食料品
2060,フィード・ワン,プライム,食料品
2108,日本甜菜製糖,プライム,食料品
2109,ＤＭ三井製糖,プライム,食料品
2112,塩水港精糖,スタンダード,食料品
2114,フジ日本,スタンダード,食料品
2117,ウェルネオシュガー,プライム,食料品
2120,ＬＩＦＵＬＬ,プライム,サービス業
2121,ＭＩＸＩ,プライム,情報・通信業
2122,インタースペース,スタンダード,サービス業
2124,ジェイエイシーリクルートメント,プライム,サービス業
2127,日本Ｍ＆Ａセンターホールディングス,プライム,サービス業
2130,メンバーズ,プライム,サービス業
2134,北浜キャピタルパートナーズ,スタンダード,サービス業
2136,ヒップ,スタンダード,サービス業
2138,クルーズ,スタンダード,情報・通信業
2139,中広,スタンダード,サービス業
2146,ＵＴグループ,プライム,サービス業
2148,アイティメディア,プライム,サービス業
2152,幼児活動研究会,スタンダード,サービス業
2153,Ｅ・Ｊホールディングス,プライム,サービス業
2154,オープンアップグループ,プライム,サービス業
2156,セーラー広告,スタンダード,サービス業
2157,コシダカホールディングス,プライム,サービス業
2158,ＦＲＯＮＴＥＯ,グロース,サービス業
2160,ジーエヌアイグループ,グロース,医薬品
2162,ｎｍｓ　ホールディングス,スタンダード,サービス業
2163,アルトナー,プライム,サービス業
2164,地域新聞社,スタンダード,サービス業
2168,パソナグループ,プライム,サービス業
2169,ＣＤＳ,スタンダード,サービス業
2170,リンクアンドモチベーション,プライム,サービス業
2173,博展,グロース,サービス業
2175,エス・エム・エス,プライム,サービス業
2179,成学社,スタンダード,サービス業
2180,サニーサイドアップグループ,スタンダード,サービス業
2181,パーソルホールディングス,プライム,サービス業
2183,リニカル,スタンダード,サービス業
2185,シイエム・シイ,スタンダード,サービス業
2186,ソーバル,スタンダード,サービス業
2193,クックパッド,スタンダード,サービス業
2195,アミタホールディングス,グロース,サービス業
2198,アイ・ケイ・ケイホールディングス,プライム,サービス業
2201,森永製菓,プライム,食料品
2204,中村屋,スタンダード,食料品
2206,江崎グリコ,プライム,食料品
